"SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","URL..SEE.http...www.redfin.com.buy.a.home.comparative.market.analysis.FOR.INFO.ON.PRICING.","SOURCE","MLS.","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","YEAR.DOWNLOADED","X"
"For-Sale-by-Owner Listing",NA,"Single Family Residential","2226 McNair Ave","St. Louis","MO","63104",495000,3,2.5,"Saint Louis",13800,18730,1910,252,36,NA,"Active","","","http://www.redfin.com/MO/St-Louis/2226-McNair-Ave-63104/home/145506458","Fizber.com","4960134","N","Y",38.6078011,-90.2175096,2018,1023
"MLS Listing",NA,"Condo/Co-op","150 Carondelet Plaza Rd #1403","Clayton","MO","63105",2195000,3,3,"Clayton",3346,348,2002,9,656,183,"Active","","","http://www.redfin.com/MO/St-Louis/150-Carondelet-Plz-63105/unit-1403/home/93317623","MARIS","20002777","N","Y",38.6478858,-90.3322292,2020,1630
"Redfin Data",NA,"Single Family Residential","5617 Botanical Ave","St. Louis","MO","63110",125000,1,1,"St. Louis",792,2614,1914,5,158,NA,"Pre On-Market","","","http://www.redfin.com/MO/St-Louis/5617-Botanical-Ave-63110/home/62759905","Coming Soon","23958","N","Y",38.6127999,-90.2823951,2018,323
"MLS Listing",NA,"Single Family Residential","7101 Morganford Rd","St Louis","MO","63116",119900,2,1,"South City",816,5158,1952,70,147,NA,"Active","","","http://www.redfin.com/MO/St-Louis/7101-Morganford-Rd-63116/home/93784543","MARIS","18086042","N","Y",38.5646739,-90.278754,2018,305
"MLS Listing",NA,"Condo/Co-op","420 Lake Ave #1","St Louis","MO","63108",180000,2,2,"Central West",1100,2091,1898,71,164,190,"Active","","","http://www.redfin.com/MO/St-Louis/420-Lake-Ave-63108/unit-1/home/93786046","MARIS","18070268","N","Y",38.6482495,-90.2700115,2018,569
"MLS Listing",NA,"Single Family Residential","6571 Murdoch Ave","St Louis","MO","63109",399900,3,3,"South City",2291,6229,1935,17,175,NA,"Active","","","http://www.redfin.com/MO/St-Louis/6571-Murdoch-Ave-63109/home/93779481","MARIS","18095007","N","Y",38.5885266,-90.3060557,2018,956
"MLS Listing",NA,"Single Family Residential","7015 Waterman Ave","St Louis","MO","63130",529500,3,3,"University City",2296,5881,1920,101,231,NA,"Active","","","http://www.redfin.com/MO/University-City/7015-Waterman-Ave-63130/home/62731683","MARIS","18076695","N","Y",38.6534006,-90.3153124,2018,1048
"MLS Listing",NA,"Single Family Residential","6715 Plateau Ave","St Louis","MO","63139",85500,2,1,"South City",672,5184,1949,64,127,NA,"Active","","","http://www.redfin.com/MO/St-Louis/6715-Plateau-Ave-63139/home/93773054","MARIS","18086580","N","Y",38.6235275,-90.3020198,2018,188
"MLS Listing",NA,"Multi-Family (2-4 Unit)","7030 Dartmouth Ave","St Louis","MO","63130",315000,4,2,"University City",NA,4008,1925,91,NA,NA,"Active","","","http://www.redfin.com/MO/University-City/7030-Dartmouth-Ave-63130/home/93469760","MARIS","19083617","N","Y",38.6620783,-90.3172957,2020,1937
"MLS Listing",NA,"Single Family Residential","0 Rosemont@provence","St Charles","MO","63301",327900,4,3,"St. Charles",2461,NA,NA,202,133,27,"Active","","","http://www.redfin.com/MO/St-Charles/0-Rosemont-provence-63301/home/113055642","MARIS","18048717","N","Y",38.80184,-90.482406,2018,1435
"MLS Listing",NA,"Single Family Residential","0 Audubon@provence","St Charles","MO","63301",285900,3,2,"St. Charles",1734,NA,NA,7,165,27,"Active","","","http://www.redfin.com/MO/St-Charles/0-Audubon-provence-63301/home/144483217","MARIS","18095350","N","Y",38.803447,-90.484826,2018,1255
"MLS Listing",NA,"Single Family Residential","5849 Cates Ave","St Louis","MO","63112",279500,6,4,"Central West",2998,9496,1899,197,93,NA,"Active","","","http://www.redfin.com/MO/St-Louis/5849-Cates-Ave-63112/home/93683201","MARIS","18049918","N","Y",38.6580993,-90.2879244,2018,801
"MLS Listing",NA,"Single Family Residential","124 N Taylor Ave","Kirkwood","MO","63122",875000,4,4,"Kirkwood",3428,13983,1867,30,255,NA,"Active","","","http://www.redfin.com/MO/Kirkwood/124-N-Taylor-Ave-63122/home/77106892","MARIS","18092967","N","Y",38.581977,-90.403638,2018,1159
"New Construction Plan",NA,"Single Family Residential","Denmark","Saint Charles","MO","63301",278900,3,2,"Provence, The Villages of",1746,NA,NA,NA,160,NA,"Active","","","http://www.redfin.com/MO/St-Charles/Provence-The-Villages-of/Denmark/home/148131690","NewHomeSource.com","Plan-71382373","N","Y",38.804399,-90.485759,2018,1535
"MLS Listing",NA,"Single Family Residential","3157 Duquette","St Charles","MO","63301",120000,4,3,"St. Charles",888,11805,1966,23,135,NA,"Active","","","http://www.redfin.com/MO/St-Charles/3157-Duquette-Dr-63301/home/103345215","MARIS","18094261","N","Y",38.8110667,-90.4963048,2018,1278
"MLS Listing",NA,"Single Family Residential","5433 Enright Ave","St Louis","MO","63112",325000,4,3,"Central West",2204,4704,1896,36,147,NA,"Active","","","http://www.redfin.com/MO/St-Louis/5433-Enright-Ave-63112/home/93761769","MARIS","18090013","N","Y",38.6548486,-90.2770993,2018,869
"MLS Listing",NA,"Condo/Co-op","303 Carlyle Lk","Creve Coeur","MO","63141",599000,3,3,"Parkway North",3127,6534,1993,168,192,825,"Active","","","http://www.redfin.com/MO/Creve-Coeur/303-Carlyle-Lake-Dr-63141/home/93473922","MARIS","19064026","N","Y",38.660154,-90.442711,2020,2127
"MLS Listing",NA,"Condo/Co-op","5866 Sunshine #108","St Louis","MO","63109",80000,2,1,"South City",788,NA,1948,89,102,165,"Active","","","http://www.redfin.com/MO/St-Louis/5866-Sunshine-Dr-63109/unit-108/home/93786757","MARIS","18080028","N","Y",38.5711464,-90.2964626,2018,179
"MLS Listing",NA,"Multi-Family (2-4 Unit)","5847 Goener Ave","St Louis","MO","63116",159900,4,6.5,"South City",2250,2788,1926,38,71,NA,"Active","","","http://www.redfin.com/MO/St-Louis/5847-Goener-Ave-63116/home/93777219","MARIS","18091719","N","Y",38.5756974,-90.2753395,2018,487
"MLS Listing",NA,"Single Family Residential","7515 Gannon Ave","St Louis","MO","63130",325000,3,3,"University City",1442,6273,1956,4,225,NA,"Active","","","http://www.redfin.com/MO/University-City/7515-Gannon-Ave-63130/home/62722187","MARIS","20001653","N","Y",38.6600846,-90.3333267,2020,1832
